source,target,importance
SOCS1,EMILIN2,0.39899757504463196
SOCS1,SULT1A1,0.3972829282283783
SOCS1,NMU,0.38337618112564087
SOCS1,P4HB,0.3311094045639038
SOCS1,AP1S2,0.2997363209724426
SOCS1,TNFSF10,0.28748077154159546
SOCS1,ERRFI1,0.28536438941955566
SOCS1,CTC-366B18.2,0.28480812907218933
SOCS1,CNN2,0.27911892533302307
SOCS1,RUNX2,0.27628257870674133
SOCS1,C10orf128,0.27215611934661865
SOCS1,CRADD,0.26992812752723694
SOCS1,RP1-20C7.6,0.2698398530483246
SOCS1,CASP4,0.2685903310775757
SOCS1,PPAPDC1A,0.2654348313808441
SOCS1,RP11-111M22.3,0.2649753987789154
SOCS1,RP5-1098D14.1,0.26461365818977356
SOCS1,EMP3,0.26387032866477966
SOCS1,F2RL3,0.26285797357559204
SOCS1,SYNE1,0.2614319920539856
SOCS1,RP11-611E13.2,0.2603117823600769
SOCS1,DLK1,0.2598476707935333
SOCS1,PDIA3,0.25524577498435974
SOCS1,CCDC64B,0.2542368173599243
SOCS1,TUBB1,0.2541193962097168
SOCS1,TTC9B,0.25336772203445435
SOCS1,SOD2,0.25329819321632385
SOCS1,RP11-65J3.3,0.2520352900028229
SOCS1,AC079210.1,0.2506788372993469
SOCS1,RASSF4,0.25042062997817993
SOCS1,RAB13,0.24929578602313995
SOCS1,MS4A3,0.2487005740404129
SOCS1,RP11-296K13.4,0.24310551583766937
SOCS1,NUSAP1,0.24223151803016663
SOCS1,ASB2,0.23732715845108032
SOCS1,CD3E,0.23671641945838928
SOCS1,LIN28B,0.23457643389701843
SOCS1,RPSAP58,0.23443758487701416
SOCS1,KCNQ2,0.2335919290781021
SOCS1,CD14,0.23305805027484894
SOCS1,MCM4,0.231096088886261
SOCS1,FAM71F2,0.23018395900726318
SOCS1,BEND7,0.22923074662685394
SOCS1,AREG,0.2279793620109558
SOCS1,CLNK,0.22684639692306519
SOCS1,FCGR1B,0.22559383511543274
SOCS1,RP11-1038A11.1,0.2253868132829666
SOCS1,RTN4,0.2238079458475113
SOCS1,CST7,0.22354252636432648
SOCS1,RGCC,0.22242259979248047
SOCS1,RP11-353K11.1,0.2223605513572693
SOCS1,PTPRCAP,0.22221006453037262
SOCS1,TXNIP,0.2207898199558258
SOCS1,CDKN1C,0.21989113092422485
SOCS1,MKNK2,0.21964795887470245
SOCS1,RP11-661A12.12,0.21929359436035156
SOCS1,NDFIP2,0.21881559491157532
SOCS1,LINC01087,0.21801972389221191
SOCS1,TUBA1A,0.2178608775138855
SOCS1,CMYA5,0.21734730899333954
SOCS1,SMARCA5,0.21730762720108032
SOCS1,CALR,0.217289537191391
SOCS1,SPIN2A,0.2155754715204239
SOCS1,CHML,0.21378880739212036
SOCS1,HCST,0.21367031335830688
SOCS1,CELF6,0.21302053332328796
SOCS1,MROH8,0.21149080991744995
SOCS1,LINC01094,0.21129173040390015
SOCS1,CTD-2020K17.1,0.2101615071296692
SOCS1,LAMP2,0.20917600393295288
SOCS1,AC004381.7,0.20895008742809296
SOCS1,SMIM14,0.20881801843643188
SOCS1,EGLN3,0.20836859941482544
SOCS1,CHD1,0.2079176902770996
SOCS1,TNFRSF18,0.2073391079902649
SOCS1,GATA2,0.2057894915342331
SOCS1,RP3-400N23.6,0.20545244216918945
SOCS1,ANKRD18B,0.2053198218345642
SOCS1,AC004463.6,0.2052965760231018
SOCS1,FABP3,0.20526687800884247
SOCS1,PPIC,0.20485614240169525
SOCS1,NCL,0.20458082854747772
SOCS1,CMTM3,0.20438534021377563
SOCS1,YPEL2,0.2043704092502594
SOCS1,RP11-374M1.2,0.20424748957157135
SOCS1,GPR183,0.20400434732437134
SOCS1,RP11-432J24.3,0.20361948013305664
SOCS1,STIM2,0.20348520576953888
SOCS1,SLU7,0.20308856666088104
SOCS1,CENPF,0.20292246341705322
SOCS1,RP11-1060G2.2,0.20250512659549713
SOCS1,LGALS3BP,0.20238137245178223
SOCS1,CTD-2245F17.3,0.2023012936115265
SOCS1,GP1BA,0.20211049914360046
SOCS1,RP11-1C8.6,0.20155487954616547
SOCS1,SPINT2,0.20124870538711548
SOCS1,RP1-93H18.1,0.20107465982437134
SOCS1,UPP1,0.20055560767650604
SOCS1,PHLDA1,0.19934450089931488
SOCS1,RP11-117D22.2,0.19930586218833923
