Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cellular response to chemical stress (GO:0062197),2/101,0.0100178506582505,0.0895037919686254,0,0,14.336940836940837,65.99848293232873,LRRK2;DHRS2
GO_Biological_Process_2021,regulation of cell death (GO:0010941),2/102,0.0102087472469366,0.0895037919686254,0,0,14.192857142857145,65.06730050963371,LRRK2;AGR2
GO_Biological_Process_2021,heart trabecula formation (GO:0060347),1/7,0.0104543235506301,0.0895037919686254,0,0,114.73563218390804,523.2793468811269,ADGRG6
GO_Biological_Process_2021,negative regulation of low-density lipoprotein receptor activity (GO:1905598),1/7,0.0104543235506301,0.0895037919686254,0,0,114.73563218390804,523.2793468811269,APP
GO_Biological_Process_2021,positive regulation of IRE1-mediated unfolded protein response (GO:1903896),1/7,0.0104543235506301,0.0895037919686254,0,0,114.73563218390804,523.2793468811269,AGR2
GO_Biological_Process_2021,protein localization to endoplasmic reticulum exit site (GO:0070973),1/7,0.0104543235506301,0.0895037919686254,0,0,114.73563218390804,523.2793468811269,LRRK2
GO_Biological_Process_2021,modulation of chemical synaptic transmission (GO:0050804),2/109,0.011590073195203,0.0895037919686254,0,0,13.259679572763686,59.10643128273495,APP;LRRK2
GO_Biological_Process_2021,negative regulation of long-term synaptic potentiation (GO:1900272),1/8,0.0119391531667426,0.0895037919686254,0,0,98.33990147783253,435.442406227662,APP
GO_Biological_Process_2021,regulation of dopamine receptor signaling pathway (GO:0060159),1/8,0.0119391531667426,0.0895037919686254,0,0,98.33990147783253,435.442406227662,LRRK2
GO_Biological_Process_2021,negative regulation of response to reactive oxygen species (GO:1901032),1/8,0.0119391531667426,0.0895037919686254,0,0,98.33990147783253,435.442406227662,LRRK2
GO_Biological_Process_2021,regulation of Wnt signaling pathway (GO:0030111),2/111,0.0119990706344274,0.0895037919686254,0,0,13.015072083879422,57.56470174407684,APP;LRRK2
GO_Biological_Process_2021,negative regulation of fibrinolysis (GO:0051918),1/9,0.0134218294793273,0.0895037919686254,0,0,86.04310344827586,370.92087702683546,THBD
GO_Biological_Process_2021,Schwann cell development (GO:0014044),1/9,0.0134218294793273,0.0895037919686254,0,0,86.04310344827586,370.92087702683546,ADGRG6
GO_Biological_Process_2021,regulation of ER to Golgi vesicle-mediated transport (GO:0060628),1/9,0.0134218294793273,0.0895037919686254,0,0,86.04310344827586,370.92087702683546,LRRK2
GO_Biological_Process_2021,peripheral nervous system axon ensheathment (GO:0032292),1/9,0.0134218294793273,0.0895037919686254,0,0,86.04310344827586,370.92087702683546,ADGRG6
GO_Biological_Process_2021,regulation of PERK-mediated unfolded protein response (GO:1903897),1/9,0.0134218294793273,0.0895037919686254,0,0,86.04310344827586,370.92087702683546,AGR2
GO_Biological_Process_2021,regulation of protein binding (GO:0043393),2/118,0.0134799084994332,0.0895037919686254,0,0,12.225369458128078,52.64922549481143,APP;LRRK2
GO_Biological_Process_2021,cellular response to organic substance (GO:0071310),2/123,0.0145839724088795,0.0895037919686254,0,0,11.7172373081464,49.53851240703452,LRRK2;PTPN4
GO_Biological_Process_2021,defense response to symbiont (GO:0140546),2/124,0.0148093553156593,0.0895037919686254,0,0,11.620608899297425,48.95177062069236,IFI27;OASL
GO_Biological_Process_2021,regulation of cell activation (GO:0050865),1/10,0.0149023554252653,0.0895037919686254,0,0,76.47892720306514,321.6884165593148,TXK
GO_Biological_Process_2021,response to dopamine (GO:1903350),1/10,0.0149023554252653,0.0895037919686254,0,0,76.47892720306514,321.6884165593148,LRRK2
GO_Biological_Process_2021,cellular response to dopamine (GO:1903351),1/10,0.0149023554252653,0.0895037919686254,0,0,76.47892720306514,321.6884165593148,LRRK2
