Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059),1/29,0.0272053167113753,0.0849027606113405,0,0,39.58928571428572,142.69335919589085,CASP4
GO_Biological_Process_2021,positive regulation of extrinsic apoptotic signaling pathway (GO:2001238),1/29,0.0272053167113753,0.0849027606113405,0,0,39.58928571428572,142.69335919589085,TNFSF10
GO_Biological_Process_2021,estrogen metabolic process (GO:0008210),1/30,0.0281308104264749,0.0849027606113405,0,0,38.22222222222222,136.48734525751556,SULT1A1
GO_Biological_Process_2021,extrinsic apoptotic signaling pathway via death domain receptors (GO:0008625),1/30,0.0281308104264749,0.0849027606113405,0,0,38.22222222222222,136.48734525751556,CRADD
GO_Biological_Process_2021,positive regulation of Rho protein signal transduction (GO:0035025),1/31,0.0290554700086194,0.0849027606113405,0,0,36.946296296296296,130.736261970552,F2RL3
GO_Biological_Process_2021,positive regulation of programmed cell death (GO:0043068),2/286,0.0296888534310984,0.0849027606113405,0,0,8.159486329743165,28.6967796793083,CRADD;TNFSF10
GO_Biological_Process_2021,chondrocyte differentiation (GO:0002062),1/32,0.0299792961708411,0.0849027606113405,0,0,35.75268817204301,125.39355349635466,RUNX2
GO_Biological_Process_2021,positive regulation of calcium ion transport into cytosol (GO:0010524),1/34,0.0318244510525941,0.0849027606113405,0,0,33.582491582491585,115.77632426352072,F2RL3
GO_Biological_Process_2021,regulation of keratinocyte differentiation (GO:0045616),1/34,0.0318244510525941,0.0849027606113405,0,0,33.582491582491585,115.77632426352072,ERRFI1
GO_Biological_Process_2021,positive regulation of release of sequestered calcium ion into cytosol (GO:0051281),1/34,0.0318244510525941,0.0849027606113405,0,0,33.582491582491585,115.77632426352072,F2RL3
GO_Biological_Process_2021,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902042),1/34,0.0318244510525941,0.0849027606113405,0,0,33.582491582491585,115.77632426352072,TNFSF10
GO_Biological_Process_2021,oxoacid metabolic process (GO:0043436),1/35,0.0327457811830531,0.0849027606113405,0,0,32.59313725490196,111.43532169951338,SULT1A1
